track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,userid,artist,playlist
Make Up,0.737,0.224,10,-13.486,1,0.0459,0.819,7.09e-05,0.128,0.645,96.836,178933,4,c50566d83fba17b20697039d5824db78,Lou Reed,Everything at once
Make You Better,0.423,0.874,2,-4.8,1,0.0399,0.143,8.65e-05,0.127,0.305,119.313,307867,4,c50566d83fba17b20697039d5824db78,The Decemberists,Everything at once
Make You Feel Better,0.404,0.877,7,-4.319,1,0.037,0.0241,7.89e-06,0.166,0.68,179.885,231733,4,c50566d83fba17b20697039d5824db78,Red Hot Chili Peppers,Everything at once
MakeDamnSure,0.552,0.836,6,-5.608,1,0.0453,0.00942,0.0,0.372,0.432,140.496,208280,4,c50566d83fba17b20697039d5824db78,Taking Back Sunday,Everything at once
Making Me Nervous,0.766,0.591,0,-9.169,0,0.0672,0.0801,0.0166,0.335,0.806,120.017,159240,4,c50566d83fba17b20697039d5824db78,Brad Sucks,April 2014
Malibu,0.528,0.904,2,-5.854,1,0.0343,0.000833,0.0,0.174,0.678,122.372,230040,4,c50566d83fba17b20697039d5824db78,Hole,Everything at once
Mama's Room,0.655,0.805,4,-6.006,1,0.0295,0.0143,0.00647,0.517,0.828,100.93,232813,4,c50566d83fba17b20697039d5824db78,Under The Influence of Giants,Everything at once
"Mama, I'm Coming Home",0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867,4,c50566d83fba17b20697039d5824db78,Ozzy Osbourne,Everything at once
"Mama, You Been on My Mind - Live",0.559,0.759,11,-9.856,1,0.292,0.791,0.0,0.886,0.404,104.987,185400,4,c50566d83fba17b20697039d5824db78,Bob Dylan,Everything at once
Mamma Mia,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,213267,4,c50566d83fba17b20697039d5824db78,ABBA,Everything at once
Mamma är säkert nöjd,0.577,0.726,9,-8.526,0,0.0371,0.119,8.42e-05,0.372,0.743,127.307,237107,4,c50566d83fba17b20697039d5824db78,Lars Winnerbäck,Everything at once
Mammas gata,0.775,0.788,1,-5.328,1,0.0463,0.0591,0.0,0.315,0.727,110.04,215547,4,c50566d83fba17b20697039d5824db78,Promoe,Everything at once
Mamy Blue,0.624,0.554,0,-11.995,1,0.0376,0.176,2.59e-05,0.583,0.46,115.075,218560,4,c50566d83fba17b20697039d5824db78,Roger Whittaker,Everything at once
Man On The Moon,0.667,0.699,7,-7.574,1,0.026,0.42,0.000442,0.201,0.655,118.567,314173,4,c50566d83fba17b20697039d5824db78,R.E.M.,Everything at once
Man That You Fear,0.408,0.71,9,-10.707,1,0.0715,0.0961,3.54e-05,0.0885,0.0916,129.739,370813,4,c50566d83fba17b20697039d5824db78,Marilyn Manson,Everything at once
Man måste dö några gånger innan man kan leva,0.426,0.704,2,-8.836,1,0.0351,0.0671,6.99e-06,0.797,0.561,128.661,340960,4,c5cdf06b5f1836006ef2a2fe4f5ff103,Håkan Hellström,håkaan <3
Man on Fire,0.476,0.478,11,-11.766,1,0.0395,0.779,0.117,0.103,0.489,89.06,259080,4,c50566d83fba17b20697039d5824db78,Edward Sharpe & The Magnetic Zeros,Everything at once
Man ser det från månen,0.388,0.574,10,-7.276,1,0.0319,0.181,0.121,0.217,0.178,119.942,357872,4,c50566d83fba17b20697039d5824db78,Familjen,Everything at once
Man ser det från månen (Radio Edit),0.565,0.812,10,-6.917,1,0.0287,0.0163,0.236,0.155,0.406,119.923,198000,4,c50566d83fba17b20697039d5824db78,Familjen,Everything at once
Manchester,0.43,0.425,2,-8.526,1,0.0307,0.748,0.000502,0.159,0.416,145.23,246173,4,c50566d83fba17b20697039d5824db78,Kishi Bashi,Everything at once
Manic Depression,0.357,0.969,1,-4.99,1,0.124,0.0134,0.0677,0.141,0.704,149.741,222293,3,c50566d83fba17b20697039d5824db78,Jimi Hendrix,Everything at once
Manic Monday,0.685,0.594,2,-10.906,1,0.0289,0.294,3.69e-06,0.358,0.853,121.761,184160,4,c50566d83fba17b20697039d5824db78,The Bangles,Everything at once
Manners,0.481,0.858,7,-5.132,1,0.166,0.0165,0.000855,0.118,0.658,156.005,211467,4,c50566d83fba17b20697039d5824db78,Icona Pop,Everything at once
Mansard Roof,0.522,0.699,5,-4.25,1,0.145,0.341,0.000181,0.219,0.765,165.245,127667,4,c50566d83fba17b20697039d5824db78,Vampire Weekend,Everything at once
Many Rivers To Cross - Harder They Come/Soundtrack Version,0.439,0.271,5,-10.226,1,0.0574,0.628,0.0023,0.149,0.159,137.616,180267,4,c50566d83fba17b20697039d5824db78,Jimmy Cliff,Everything at once
Many Shades Of Black,0.408,0.728,7,-4.287,0,0.034,0.0197,0.0,0.462,0.632,95.429,264627,3,c50566d83fba17b20697039d5824db78,The Raconteurs,Everything at once
Marathon,0.585,0.402,9,-8.078,0,0.0266,0.956,0.000168,0.11,0.743,80.48,165467,4,c50566d83fba17b20697039d5824db78,Tennis,Everything at once
Marble House,0.45,0.646,0,-8.68,1,0.0348,0.00318,0.000659,0.329,0.251,179.594,318960,4,c50566d83fba17b20697039d5824db78,The Knife,Everything at once
March Of The Pigs,0.511,0.867,2,-7.411,1,0.049,0.0278,0.113,0.0855,0.0722,134.472,178640,1,c50566d83fba17b20697039d5824db78,Nine Inch Nails,Everything at once
Mareld,0.227,0.508,4,-10.859,0,0.0368,0.0398,0.00246,0.727,0.0911,169.134,415928,3,c50566d83fba17b20697039d5824db78,Lars Winnerbäck,Everything at once
Marigold,0.367,0.326,3,-13.025,0,0.0395,0.126,0.000599,0.12,0.333,175.109,154280,4,c50566d83fba17b20697039d5824db78,Nirvana,Everything at once
Marilyn (feat. Dominique Le Jeune),0.435,0.641,10,-7.274,1,0.104,0.131,0.0,0.273,0.156,115.534,196216,3,c50566d83fba17b20697039d5824db78,G-Eazy,Everything at once
Mario Kart Love Song,0.565,0.194,3,-16.96,1,0.0517,0.826,0.0,0.113,0.713,79.591,152427,4,c50566d83fba17b20697039d5824db78,Sam Hart,Everything at once
Market Girl,0.424,0.913,9,-8.922,1,0.031,0.115,0.0297,0.0874,0.745,154.994,214227,4,c50566d83fba17b20697039d5824db78,Headlights,April 2014
Marz,0.528,0.364,10,-11.266,1,0.0296,0.354,3.42e-05,0.0839,0.42,119.932,238293,4,c50566d83fba17b20697039d5824db78,John Grant,Everything at once
Master Pretender,0.62,0.836,0,-6.14,1,0.0416,0.0705,0.00738,0.125,0.347,105.947,227507,4,c50566d83fba17b20697039d5824db78,First Aid Kit,Everything at once
Masterpiece Theatre III,0.418,0.791,7,-5.975,1,0.0636,0.0579,0.0,0.169,0.251,143.985,403253,4,c50566d83fba17b20697039d5824db78,Marianas Trench,Everything at once
Mathematics,0.603,0.688,0,-3.446,0,0.0304,0.00415,0.000333,0.146,0.556,120.01,206653,4,c50566d83fba17b20697039d5824db78,Little Boots,Everything at once
Matilda,0.578,0.675,2,-9.208,1,0.03,0.787,0.403,0.116,0.281,147.947,228707,4,c50566d83fba17b20697039d5824db78,alt-J,Everything at once
Matterhorn,0.467,0.399,4,-8.691,0,0.0257,0.337,0.598,0.16,0.109,97.008,315467,4,c50566d83fba17b20697039d5824db78,Jason Lytle,Everything at once
May Your Hearts Stay Strong,0.392,0.583,0,-7.857,0,0.0473,0.173,0.00014,0.131,0.215,120.018,260253,4,c50566d83fba17b20697039d5824db78,Cloud Cult,Everything at once
Maybelline,0.455,0.779,4,-2.979,0,0.0367,0.000618,1.52e-06,0.265,0.674,128.58,196549,4,c50566d83fba17b20697039d5824db78,Babyshambles,Everything at once
Me And The Devil,0.685,0.801,10,-5.585,0,0.0349,0.018,0.00345,0.105,0.396,83.49,213813,4,c50566d83fba17b20697039d5824db78,Gil Scott-Heron,Everything at once
Me and Bobby McGee,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,271333,4,c50566d83fba17b20697039d5824db78,Janis Joplin,Everything at once
Meaningless Love,0.637,0.519,10,-7.361,0,0.0375,0.0286,0.0125,0.0992,0.309,171.235,318720,4,c50566d83fba17b20697039d5824db78,Under The Influence of Giants,Everything at once
Medication,0.333,0.429,6,-10.02,0,0.0948,0.541,0.0211,0.31,0.316,94.149,301800,4,c50566d83fba17b20697039d5824db78,Modest Mouse,April 2014
Medicine,0.216,0.301,3,-12.464,1,0.0294,0.105,0.219,0.563,0.202,79.869,258973,5,c50566d83fba17b20697039d5824db78,Daughter,Everything at once
Meds,0.514,0.91,4,-4.644,0,0.105,0.0995,0.000206,0.0943,0.29,155.139,175387,4,c50566d83fba17b20697039d5824db78,Placebo,Everything at once
Meet Me in the Bathroom,0.427,0.941,7,-3.973,1,0.0336,6.7e-05,0.89,0.0772,0.587,139.956,176160,4,c50566d83fba17b20697039d5824db78,The Strokes,Everything at once
Meet a Bear,0.521,0.685,4,-5.029,1,0.0267,0.182,2.72e-05,0.119,0.529,138.234,194000,4,c50566d83fba17b20697039d5824db78,Britta Persson,Everything at once
Meeting People Sucks,0.242,0.733,11,-6.045,0,0.0705,0.00631,0.0221,0.284,0.352,193.915,146133,3,c50566d83fba17b20697039d5824db78,The Naked And Famous,Everything at once
Meg White,0.502,0.384,7,-9.656,1,0.0414,0.745,0.000632,0.167,0.257,124.496,252080,4,c50566d83fba17b20697039d5824db78,Ray LaMontagne,Everything at once
Megafauna,0.555,0.58,0,-7.675,1,0.0312,0.111,1.38e-05,0.0946,0.525,134.966,268693,4,c50566d83fba17b20697039d5824db78,Ra Ra Riot,Everything at once
Megalomania,0.189,0.304,4,-11.897,0,0.032,0.0326,0.824,0.315,0.0899,145.76,279907,4,c50566d83fba17b20697039d5824db78,Muse,Everything at once
Mellon Collie And The Infinite Sadness,0.274,0.0332,6,-22.448,1,0.0341,0.957,0.771,0.115,0.139,96.934,172920,5,c50566d83fba17b20697039d5824db78,The Smashing Pumpkins,Everything at once
Mellowship Slinky In B Major,0.652,0.809,6,-11.623,0,0.0762,0.00295,0.00928,0.352,0.773,91.919,239960,4,c50566d83fba17b20697039d5824db78,Red Hot Chili Peppers,Everything at once
Melody Calling,0.593,0.908,11,-8.304,0,0.0478,0.00108,0.376,0.369,0.855,145.981,178613,4,c50566d83fba17b20697039d5824db78,The Vaccines,Everything at once
Memory Serves,0.478,0.842,4,-5.447,0,0.0582,2.75e-05,0.254,0.315,0.481,136.1,301787,4,c50566d83fba17b20697039d5824db78,Interpol,Everything at once
Men bara om min älskade väntar,0.303,0.0625,2,-14.431,1,0.0342,0.859,8.75e-06,0.0807,0.314,73.74,252627,4,c50566d83fba17b20697039d5824db78,Thåström,Everything at once
Men's Needs,0.547,0.944,1,-2.264,0,0.0469,0.000102,9.95e-05,0.0665,0.835,122.005,195973,4,c50566d83fba17b20697039d5824db78,The Cribs,Everything at once
Mening,0.902,0.145,9,-9.662,0,0.0475,0.851,0.0473,0.0815,0.33,95.073,80040,4,c50566d83fba17b20697039d5824db78,Den svenska björnstammen,April 2014
Menswear,0.708,0.539,1,-10.281,1,0.0681,0.541,0.0179,0.0856,0.159,97.015,206738,4,c50566d83fba17b20697039d5824db78,The 1975,Everything at once
Mercedes Benz,0.704,0.106,0,-15.169,0,0.542,0.939,0.0,0.0674,0.521,86.763,107867,4,c50566d83fba17b20697039d5824db78,Janis Joplin,Everything at once
Mercy Me,0.481,0.886,9,-5.355,1,0.0513,0.0229,0.0,0.421,0.848,162.186,169573,4,c50566d83fba17b20697039d5824db78,Alkaline Trio,Everything at once
Metabolism,0.422,0.85,8,-5.134,0,0.0395,4.16e-05,0.00371,0.164,0.34,162.004,180680,3,c50566d83fba17b20697039d5824db78,The Strokes,Everything at once
Metal Zone,0.506,0.88,7,-5.005,0,0.0523,0.00256,0.266,0.191,0.283,132.162,144860,4,c50566d83fba17b20697039d5824db78,The Vines,Everything at once
Metroland,0.71,0.864,2,-7.261,1,0.0323,0.0193,0.486,0.07,0.676,124.02,452510,4,c50566d83fba17b20697039d5824db78,Orchestral Manoeuvres In The Dark,Everything at once
Mexican Dogs,0.287,0.776,0,-6.559,1,0.0493,0.00429,0.000147,0.1,0.34,185.664,216027,4,c50566d83fba17b20697039d5824db78,Cold War Kids,Everything at once
